Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
timescales,3.0,131072.0,lattice-monitor,F3(131072),5000000.0,ms,2386.20781898,2021-03-02 17:38:36.170160-06:00
timescales,0.0,65536.0,Reelay,((once[:65536]{x > 0.00}) -> ((not {x > 0.5}) since {x > 0.00})),5000000.0,ms,2220.0,2021-03-02 19:41:56.857898-06:00
timescales,3.0,65536.0,semiring-monitor,((once[:65536]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),100000000.0,ms,3209.0,2021-03-02 20:13:37.125345-06:00
timescales,3.0,262144.0,Reelay,((once[:262144]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),5000000.0,ms,2196.0,2021-03-02 20:17:40.624776-06:00
timescales,9.0,65536.0,lattice-monitor,F9(65536),5000000.0,ms,5757.69805908,2021-03-02 21:16:48.866433-06:00
timescales,0.0,4096.0,Reelay,((once[:4096]{x > 0.00}) -> ((not {x > 0.5}) since {x > 0.00})),5000000.0,ms,2227.0,2021-03-02 19:34:03.819573-06:00
timescales,4.0,65536.0,lattice-monitor,F4(65536),5000000.0,ms,1597.70011902,2021-03-02 17:05:44.354290-06:00
timescales,9.0,16384.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[16384:32768] {x > 0.5}) and not( not({x > 0.75}) since[16384:] {x > 0.5})) since {x > 0.0}),100000000.0,ms,8438.0,2021-03-02 21:44:10.568397-06:00
timescales,0.0,131072.0,lattice-monitor,F0(131072),5000000.0,ms,2135.63084602,2021-03-02 20:15:01.821188-06:00
timescales,9.0,262144.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[262144:524288] {x > 0.5}) and not( not({x > 0.75}) since[262144:] {x > 0.5})) since {x > 0.0}),100000000.0,ms,8556.0,2021-03-02 18:13:46.271154-06:00
timescales,7.0,512.0,lattice-monitor,F7(512),5000000.0,ms,3020.88189125,2021-03-02 18:57:43.074083-06:00
timescales,3.0,16384.0,Reelay,((once[:16384]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),5000000.0,ms,2207.0,2021-03-02 20:40:36.189677-06:00
timescales,0.0,128.0,semiring-monitor,((once[:128]{x > 0.0}) -> ((not {x > 0.5}) since {x > 0.0})),100000000.0,ms,3370.0,2021-03-02 18:52:57.329226-06:00
timescales,7.0,16384.0,lattice-monitor,F7(16384),5000000.0,ms,3380.9030056,2021-03-02 17:33:02.642520-06:00
timescales,6.0,65536.0,semiring-monitor,(once[:65536]{x > 0.5}),100000000.0,ms,1385.0,2021-03-02 18:40:05.043477-06:00
timescales,7.0,32768.0,lattice-monitor,F7(32768),5000000.0,ms,3311.15889549,2021-03-02 20:12:08.603313-06:00
timescales,9.0,512.0,Reelay,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[512:1024] {x > 0.5}) and not( not({x > 0.75}) since[512:] {x > 0.5})) since {x > 0.0}),5000000.0,ms,8353.0,2021-03-02 18:58:16.819956-06:00
timescales,9.0,262144.0,Reelay,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[262144:524288] {x > 0.5}) and not( not({x > 0.75}) since[262144:] {x > 0.5})) since {x > 0.0}),5000000.0,ms,7730.0,2021-03-02 18:13:38.530727-06:00
timescales,8.0,8192.0,Reelay,(({x > 0.75} -> once[8192:16384] {x > 0.5}) and not( not({x > 0.75}) since[8192:] {x > 0.5})),5000000.0,ms,7172.0,2021-03-02 21:10:34.396829-06:00
timescales,4.0,2048.0,lattice-monitor,F4(2048),5000000.0,ms,955.955028534,2021-03-02 19:32:44.677855-06:00
timescales,3.0,131072.0,Reelay,((once[:131072]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),5000000.0,ms,2264.0,2021-03-02 21:48:57.416567-06:00
timescales,7.0,131072.0,lattice-monitor,F7(131072),5000000.0,ms,3543.95508766,2021-03-02 17:08:13.353643-06:00
timescales,5.0,64.0,semiring-monitor,(({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ({x > 0.5} since[64:128] {x > 0.0})),100000000.0,ms,6600.0,2021-03-02 19:23:36.995579-06:00
timescales,9.0,4096.0,lattice-monitor,F9(4096),5000000.0,ms,5065.93298912,2021-03-02 21:08:50.564186-06:00
timescales,8.0,8192.0,Reelay,(({x > 0.75} -> once[8192:16384] {x > 0.5}) and not( not({x > 0.75}) since[8192:] {x > 0.5})),5000000.0,ms,7176.0,2021-03-02 21:41:45.923434-06:00
timescales,1.0,64.0,semiring-monitor,({x > 0.25} -> (historically[:64](not {x > 0.5}))),100000000.0,ms,2361.0,2021-03-02 17:17:01.103034-06:00
timescales,4.0,4096.0,Reelay,({x > 0.25} -> (historically[:4096]{x > 0.5})),5000000.0,ms,2034.0,2021-03-02 21:07:53.744856-06:00
timescales,6.0,128.0,semiring-monitor,(once[:128]{x > 0.5}),100000000.0,ms,1355.0,2021-03-02 18:53:55.297409-06:00
timescales,6.0,131072.0,semiring-monitor,(once[:131072]{x > 0.5}),100000000.0,ms,1382.0,2021-03-02 18:42:07.856381-06:00
timescales,7.0,1024.0,semiring-monitor,(({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((once[:1024]({x > 0.5} or {x > 0.0})) since {x > 0.0})),100000000.0,ms,5744.0,2021-03-02 16:54:48.633487-06:00
timescales,3.0,8192.0,Reelay,((once[:8192]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),5000000.0,ms,2281.0,2021-03-02 17:30:25.883061-06:00
timescales,4.0,16384.0,lattice-monitor,F4(16384),5000000.0,ms,1233.39009285,2021-03-02 17:01:49.914811-06:00
timescales,7.0,16.0,semiring-monitor,(({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((once[:16]({x > 0.5} or {x > 0.0})) since {x > 0.0})),100000000.0,ms,5922.0,2021-03-02 19:51:24.464146-06:00
timescales,9.0,2048.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[2048:4096] {x > 0.5}) and not( not({x > 0.75}) since[2048:] {x > 0.5})) since {x > 0.0}),100000000.0,ms,8409.0,2021-03-02 21:38:16.897848-06:00
timescales,1.0,16384.0,Reelay,({x > 0.25} -> (historically[:16384](not {x > 0.5}))),5000000.0,ms,2094.0,2021-03-02 21:42:29.486851-06:00
timescales,1.0,16.0,Reelay,({x > 0.25} -> (historically[:16](not {x > 0.5}))),5000000.0,ms,2045.0,2021-03-02 20:52:28.070490-06:00
