Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,InputType,TimeUnit,TimeElapsed,Memory,TimeStamp
memory,7.0,128.0,Reelay,{x > 0.0} since[128:] {x > 0.5},768.0,Decreasing,ms,27.0,15486696.0,2021-03-08 12:05:05.663962-06:00
memory,0.0,16.0,Reelay,once[0:16] {x > 0.5},100000.0,Random,ms,677.0,8864464.0,2021-03-08 11:58:21.802154-06:00
memory,0.0,32.0,Reelay,once[0:32] {x > 0.5},100000.0,Decreasing,ms,2993.0,11960536.0,2021-03-08 15:14:06.542146-06:00
memory,0.0,524288.0,lattice-monitor,once[0:524288] x > 0.5,3145728.0,Increasing,ms,5269.51503754,1032006848.0,2021-03-08 18:16:53.098002-06:00
memory,5.0,524288.0,lattice-monitor,x > 0 since[524288:524288] x > 0.5,3145728.0,Increasing,ms,13404.7369957,1939216728.0,2021-03-08 18:19:05.380217-06:00
memory,0.0,262144.0,semiring-monitor,once[0:262144] x > 0.5,10000000.0,Increasing,ms,1042.0,48298912.0,2021-03-08 15:05:00.002411-06:00
memory,0.0,8192.0,lattice-monitor,once[0:8192] x > 0.5,200000.0,Increasing,ms,249.36914444,168486160.0,2021-03-08 17:16:24.640655-06:00
memory,3.0,32768.0,semiring-monitor,once[32768:] x > 0.5,10000000.0,Decreasing,ms,690.0,64024.0,2021-03-08 16:35:44.074084-06:00
memory,7.0,128.0,lattice-monitor,x > 0 since[128:] x > 0.5,200000.0,Decreasing,ms,417.71197319,149235376.0,2021-03-08 12:05:04.747195-06:00
memory,0.0,512.0,lattice-monitor,once[0:512] x > 0.5,200000.0,Random,ms,166.624069214,149235376.0,2021-03-08 16:54:10.772079-06:00
memory,7.0,524288.0,semiring-monitor,x > 0.5 since[524288:] x > 0,10000000.0,Random,ms,2206.0,310751040.0,2021-03-08 16:45:34.659160-06:00
memory,6.0,16.0,semiring-monitor,x > 0.5 since[16:32] x > 0,10000000.0,Increasing,ms,2622.0,96288.0,2021-03-08 16:47:27.395425-06:00
memory,2.0,64.0,semiring-monitor,once[64:128] x > 0.5,10000000.0,Decreasing,ms,1064.0,76736.0,2021-03-08 13:42:08.022715-06:00
memory,7.0,2048.0,lattice-monitor,x > 0 since[2048:] x > 0.5,200000.0,Decreasing,ms,498.363018036,167248400.0,2021-03-08 13:53:51.641312-06:00
memory,2.0,32.0,lattice-monitor,once[32:64] x > 0.5,200000.0,Increasing,ms,183.176040649,149235376.0,2021-03-08 15:14:20.287808-06:00
memory,4.0,64.0,lattice-monitor,x > 0 since[0:64] x > 0.5,200000.0,Decreasing,ms,335.227966309,149235376.0,2021-03-08 16:50:43.736264-06:00
memory,6.0,32.0,Reelay,{x > 0.0} since[32:64] {x > 0.5},100000.0,Increasing,ms,5791.0,14901960.0,2021-03-08 16:49:22.228761-06:00
memory,6.0,64.0,lattice-monitor,x > 0 since[64:128] x > 0.5,200000.0,Random,ms,577.602148056,149235376.0,2021-03-08 13:42:39.113332-06:00
memory,1.0,8192.0,lattice-monitor,once[8192:8192] x > 0.5,200000.0,Decreasing,ms,137.058973312,149841584.0,2021-03-08 12:33:31.141493-06:00
memory,7.0,256.0,semiring-monitor,x > 0.5 since[256:] x > 0,10000000.0,Increasing,ms,2181.0,226592.0,2021-03-08 16:54:03.736029-06:00
memory,7.0,64.0,Reelay,{x > 0.0} since[64:] {x > 0.5},384.0,Increasing,ms,51.0,12669840.0,2021-03-08 13:42:59.407256-06:00
memory,3.0,512.0,Reelay,once[512:] {x > 0.5},3072.0,Decreasing,ms,33.0,21206400.0,2021-03-08 12:07:08.375562-06:00
memory,7.0,1024.0,semiring-monitor,x > 0.5 since[1024:] x > 0,10000000.0,Random,ms,2231.0,681200.0,2021-03-08 12:09:58.669303-06:00
memory,2.0,64.0,Reelay,once[64:128] {x > 0.5},384.0,Increasing,ms,27.0,18751072.0,2021-03-08 13:42:04.149785-06:00
memory,1.0,1024.0,semiring-monitor,once[1024:1024] x > 0.5,10000000.0,Random,ms,586.0,64056.0,2021-03-08 12:08:22.728547-06:00
memory,1.0,8192.0,semiring-monitor,once[8192:8192] x > 0.5,10000000.0,Decreasing,ms,579.0,62032.0,2021-03-08 14:12:19.383813-06:00
memory,0.0,2048.0,lattice-monitor,once[0:2048] x > 0.5,200000.0,Increasing,ms,185.357093811,149235376.0,2021-03-08 16:57:54.081186-06:00
memory,0.0,16.0,semiring-monitor,once[0:16] x > 0.5,10000000.0,Random,ms,1066.0,65760.0,2021-03-08 11:58:23.304444-06:00
memory,0.0,4096.0,semiring-monitor,once[0:4096] x > 0.5,10000000.0,Decreasing,ms,1039.0,783312.0,2021-03-08 12:15:59.583452-06:00
memory,7.0,16.0,lattice-monitor,x > 0 since[16:] x > 0.5,200000.0,Increasing,ms,362.483024597,149235376.0,2021-03-08 16:47:45.199477-06:00
memory,3.0,512.0,semiring-monitor,once[512:] x > 0.5,10000000.0,Increasing,ms,658.0,60448.0,2021-03-08 16:54:42.471301-06:00
memory,2.0,16384.0,semiring-monitor,once[16384:32768] x > 0.5,10000000.0,Decreasing,ms,1114.0,3212200.0,2021-03-08 16:34:27.623050-06:00
memory,1.0,64.0,Reelay,once[64:64] {x > 0.5},10000.0,Random,ms,408.0,12769296.0,2021-03-08 19:53:35.414941-06:00
memory,4.0,524288.0,semiring-monitor,x > 0.5 since[0:524288] x > 0,10000000.0,Random,ms,2175.0,105033408.0,2021-03-08 15:09:10.055571-06:00
memory,7.0,65536.0,lattice-monitor,x > 0 since[65536:] x > 0.5,200000.0,Decreasing,ms,720.629930496,309456144.0,2021-03-08 16:37:39.837683-06:00
memory,0.0,512.0,Reelay,once[0:512] {x > 0.5},3072.0,Random,ms,30.0,19165752.0,2021-03-08 15:20:13.603301-06:00
memory,0.0,8192.0,Reelay,once[0:8192] {x > 0.5},49152.0,Decreasing,ms,276079.0,53447880.0,2021-03-08 14:07:37.085736-06:00
memory,1.0,65536.0,semiring-monitor,once[65536:65536] x > 0.5,10000000.0,Random,ms,570.0,63952.0,2021-03-08 16:36:39.169495-06:00
memory,3.0,64.0,Reelay,once[64:] {x > 0.5},384.0,Increasing,ms,27.0,18744384.0,2021-03-08 13:42:12.716192-06:00
memory,3.0,256.0,semiring-monitor,once[256:] x > 0.5,10000000.0,Random,ms,673.0,60448.0,2021-03-08 15:19:14.552822-06:00
memory,2.0,1024.0,semiring-monitor,once[1024:2048] x > 0.5,10000000.0,Random,ms,1047.0,252872.0,2021-03-08 16:56:03.076998-06:00
memory,6.0,131072.0,semiring-monitor,x > 0.5 since[131072:262144] x > 0,10000000.0,Increasing,ms,2662.0,107036120.0,2021-03-08 16:38:36.551545-06:00
memory,5.0,128.0,lattice-monitor,x > 0 since[128:128] x > 0.5,200000.0,Decreasing,ms,483.489990234,149235376.0,2021-03-08 13:43:57.308361-06:00
memory,3.0,256.0,semiring-monitor,once[256:] x > 0.5,10000000.0,Increasing,ms,650.0,60448.0,2021-03-08 16:53:15.026743-06:00
memory,5.0,64.0,Reelay,{x > 0.0} since[64:64] {x > 0.5},10000.0,Random,ms,552.0,12832912.0,2021-03-08 18:37:00.953700-06:00
memory,2.0,1024.0,Reelay,once[1024:2048] {x > 0.5},6144.0,Decreasing,ms,7098.0,28112320.0,2021-03-08 15:22:13.521797-06:00
memory,5.0,32.0,lattice-monitor,x > 0 since[32:32] x > 0.5,200000.0,Increasing,ms,472.095012665,149235376.0,2021-03-08 12:01:26.879263-06:00
memory,6.0,1024.0,lattice-monitor,x > 0 since[1024:2048] x > 0.5,200000.0,Random,ms,711.194992065,162649944.0,2021-03-08 16:56:59.974479-06:00
memory,6.0,32.0,semiring-monitor,x > 0.5 since[32:64] x > 0,10000000.0,Increasing,ms,2699.0,109392.0,2021-03-08 15:15:29.519141-06:00
memory,2.0,64.0,semiring-monitor,once[64:128] x > 0.5,10000000.0,Decreasing,ms,1078.0,76736.0,2021-03-08 12:02:46.041968-06:00
memory,5.0,262144.0,semiring-monitor,x > 0.5 since[262144:262144] x > 0,10000000.0,Increasing,ms,1574.0,151065864.0,2021-03-08 16:40:24.990101-06:00
memory,4.0,256.0,Reelay,{x > 0.0} since[0:256] {x > 0.5},1536.0,Decreasing,ms,295.0,14633248.0,2021-03-08 16:53:28.063425-06:00
memory,7.0,4096.0,lattice-monitor,x > 0 since[4096:] x > 0.5,200000.0,Random,ms,581.861972809,149841584.0,2021-03-08 17:14:01.537491-06:00
memory,2.0,64.0,lattice-monitor,once[64:128] x > 0.5,200000.0,Increasing,ms,188.363075256,149235376.0,2021-03-08 15:16:23.030311-06:00
memory,2.0,8192.0,semiring-monitor,once[8192:16384] x > 0.5,10000000.0,Decreasing,ms,1104.0,1571776.0,2021-03-08 12:46:00.313947-06:00
memory,5.0,524288.0,lattice-monitor,x > 0 since[524288:524288] x > 0.5,3145728.0,Increasing,ms,12760.1709366,1939216728.0,2021-03-08 15:09:50.334041-06:00
memory,0.0,8192.0,Reelay,once[0:8192] {x > 0.5},49152.0,Decreasing,ms,281888.0,53447880.0,2021-03-08 12:28:43.452058-06:00
memory,7.0,16.0,lattice-monitor,x > 0 since[16:] x > 0.5,200000.0,Increasing,ms,370.117902756,149235376.0,2021-03-08 12:00:02.169098-06:00
memory,7.0,1024.0,lattice-monitor,x > 0 since[1024:] x > 0.5,200000.0,Increasing,ms,469.149112701,149235376.0,2021-03-08 12:10:01.374332-06:00
memory,7.0,1024.0,semiring-monitor,x > 0.5 since[1024:] x > 0,10000000.0,Random,ms,2213.0,681200.0,2021-03-08 15:23:34.064102-06:00
memory,7.0,32768.0,lattice-monitor,x > 0 since[32768:] x > 0.5,200000.0,Decreasing,ms,709.285020828,235987960.0,2021-03-08 18:11:21.127274-06:00
memory,6.0,16384.0,semiring-monitor,x > 0.5 since[16384:32768] x > 0,10000000.0,Decreasing,ms,2751.0,12393232.0,2021-03-08 15:00:54.788731-06:00
memory,1.0,32.0,semiring-monitor,once[32:32] x > 0.5,10000000.0,Decreasing,ms,583.0,63896.0,2021-03-08 12:00:33.657713-06:00
memory,7.0,8192.0,Reelay,{x > 0.0} since[8192:] {x > 0.5},49152.0,Decreasing,ms,862.0,13632824.0,2021-03-08 18:08:53.898515-06:00
memory,6.0,256.0,Reelay,{x > 0.0} since[256:512] {x > 0.5},1536.0,Random,ms,45.0,20237616.0,2021-03-08 13:45:23.757705-06:00
memory,3.0,1024.0,semiring-monitor,once[1024:] x > 0.5,10000000.0,Random,ms,672.0,61984.0,2021-03-08 16:56:22.620428-06:00
memory,4.0,131072.0,lattice-monitor,x > 0 since[0:131072] x > 0.5,200000.0,Random,ms,487.333059311,327637536.0,2021-03-08 16:38:09.390712-06:00
memory,1.0,524288.0,semiring-monitor,once[524288:524288] x > 0.5,10000000.0,Increasing,ms,568.0,66016.0,2021-03-08 15:08:07.290415-06:00
memory,4.0,4096.0,lattice-monitor,x > 0 since[0:4096] x > 0.5,200000.0,Random,ms,418.642997742,167137848.0,2021-03-08 12:20:20.119601-06:00
memory,1.0,16.0,Reelay,once[16:16] {x > 0.5},10000.0,Decreasing,ms,168.0,10732216.0,2021-03-08 18:36:45.817580-06:00
memory,7.0,256.0,lattice-monitor,x > 0 since[256:] x > 0.5,200000.0,Decreasing,ms,392.911911011,149235376.0,2021-03-08 16:54:06.380750-06:00
memory,3.0,512.0,semiring-monitor,once[512:] x > 0.5,10000000.0,Decreasing,ms,685.0,60448.0,2021-03-08 13:46:26.588033-06:00
memory,0.0,8192.0,lattice-monitor,once[0:8192] x > 0.5,200000.0,Decreasing,ms,233.01410675,149593768.0,2021-03-08 14:07:36.378511-06:00
memory,4.0,64.0,semiring-monitor,x > 0.5 since[0:64] x > 0,10000000.0,Decreasing,ms,2168.0,90048.0,2021-03-08 16:50:45.410338-06:00
memory,7.0,512.0,lattice-monitor,x > 0 since[512:] x > 0.5,200000.0,Increasing,ms,413.504123688,149235376.0,2021-03-08 16:55:32.977141-06:00
memory,3.0,128.0,semiring-monitor,once[128:] x > 0.5,10000000.0,Decreasing,ms,686.0,62024.0,2021-03-08 16:51:54.739419-06:00
memory,4.0,128.0,lattice-monitor,x > 0 since[0:128] x > 0.5,200000.0,Random,ms,342.763900757,149235376.0,2021-03-08 12:04:17.466461-06:00
memory,1.0,256.0,semiring-monitor,once[256:256] x > 0.5,10000000.0,Decreasing,ms,577.0,61960.0,2021-03-08 15:19:02.418089-06:00
memory,3.0,4096.0,lattice-monitor,once[4096:] x > 0.5,200000.0,Decreasing,ms,166.644096375,162649944.0,2021-03-08 12:20:17.203024-06:00
memory,5.0,32768.0,semiring-monitor,x > 0.5 since[32768:32768] x > 0,10000000.0,Decreasing,ms,1598.0,18945240.0,2021-03-08 16:36:03.981602-06:00
memory,0.0,2048.0,lattice-monitor,once[0:2048] x > 0.5,200000.0,Random,ms,192.179918289,149235376.0,2021-03-08 12:10:17.931276-06:00
memory,5.0,512.0,semiring-monitor,x > 0.5 since[512:512] x > 0,10000000.0,Random,ms,1598.0,351424.0,2021-03-08 15:21:02.983981-06:00
memory,4.0,16.0,semiring-monitor,x > 0.5 since[0:16] x > 0,10000000.0,Random,ms,2166.0,78608.0,2021-03-08 13:38:32.270921-06:00
memory,5.0,262144.0,semiring-monitor,x > 0.5 since[262144:262144] x > 0,10000000.0,Decreasing,ms,1593.0,144772336.0,2021-03-08 15:06:30.098281-06:00
memory,0.0,16384.0,Reelay,once[0:16384] {x > 0.5},98304.0,Increasing,ms,799.0,9036880.0,2021-03-08 13:21:55.384987-06:00
memory,2.0,4096.0,lattice-monitor,once[4096:8192] x > 0.5,200000.0,Increasing,ms,346.54211998,203819840.0,2021-03-08 17:03:52.033833-06:00
memory,0.0,32768.0,lattice-monitor,once[0:32768] x > 0.5,200000.0,Random,ms,278.724908829,206380048.0,2021-03-08 16:35:20.131125-06:00
memory,7.0,32.0,lattice-monitor,x > 0 since[32:] x > 0.5,200000.0,Random,ms,373.423099518,149235376.0,2021-03-08 15:15:43.944739-06:00
memory,1.0,64.0,lattice-monitor,once[64:64] x > 0.5,200000.0,Random,ms,70.1131820679,149235376.0,2021-03-08 15:16:15.132843-06:00
memory,7.0,32.0,Reelay,{x > 0.0} since[32:] {x > 0.5},100000.0,Decreasing,ms,1737.0,14781320.0,2021-03-08 12:02:18.998500-06:00
memory,1.0,131072.0,lattice-monitor,once[131072:131072] x > 0.5,200000.0,Random,ms,232.980012894,327117304.0,2021-03-08 18:12:47.799211-06:00
memory,2.0,512.0,semiring-monitor,once[512:1024] x > 0.5,10000000.0,Increasing,ms,1043.0,159168.0,2021-03-08 12:06:55.201483-06:00
memory,7.0,1024.0,semiring-monitor,x > 0.5 since[1024:] x > 0,10000000.0,Random,ms,2176.0,681200.0,2021-03-08 16:57:32.102860-06:00
memory,3.0,1024.0,lattice-monitor,once[1024:] x > 0.5,200000.0,Decreasing,ms,138.404130936,149235376.0,2021-03-08 12:08:55.901703-06:00
memory,5.0,256.0,lattice-monitor,x > 0 since[256:256] x > 0.5,200000.0,Increasing,ms,495.155096054,149235376.0,2021-03-08 15:19:37.161595-06:00
