Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
micro,0.0,64.0,semiring-monitor,once[0:64] x > 0.5,1000000000.0,ms,14079.0,2021-02-13 17:20:11.826591-06:00
micro,7.0,512.0,lattice-monitor,x > 0 since[512:] x > 0.5,10000000.0,ms,16869.0919876,2021-02-13 17:43:41.783308-06:00
micro,0.0,1024.0,semiring-monitor,once[0:1024] x > 0.5,1000000000.0,ms,13526.0,2021-02-13 17:44:46.311788-06:00
micro,3.0,32768.0,,,,,,2021-02-14 01:39:02.755211-06:00
micro,2.0,16.0,Reelay,once[16:32] {x > 0.5},10000000.0,ms,3508.0,2021-02-13 17:58:51.290242-06:00
micro,4.0,256.0,semiring-monitor,x > 0.5 since[0:256] x > 0,1000000000.0,ms,31461.0,2021-02-13 18:15:33.850707-06:00
micro,2.0,64.0,lattice-monitor,once[64:128] x > 0.5,10000000.0,ms,3063.6920929,2021-02-13 17:20:48.459454-06:00
micro,0.0,16.0,semiring-monitor,once[0:16] x > 0.5,1000000000.0,ms,13847.0,2021-02-13 17:58:28.839183-06:00
micro,7.0,1024.0,Reelay,{x > 0.0} since[1024:] {x > 0.5},10000000.0,ms,10411.0,2021-02-13 17:57:56.199845-06:00
micro,3.0,16.0,Reelay,once[16:] {x > 0.5},10000000.0,ms,1943.0,2021-02-13 17:59:10.039792-06:00
micro,1.0,512.0,semiring-monitor,once[512:512] x > 0.5,1000000000.0,ms,6065.0,2021-02-13 18:19:06.302212-06:00
micro,5.0,64.0,semiring-monitor,x > 0.5 since[64:64] x > 0,1000000000.0,ms,21038.0,2021-02-13 18:07:54.001820-06:00
micro,6.0,8192.0,lattice-monitor,x > 0 since[8192:16384] x > 0.5,10000000.0,ms,518925.014019,2021-02-13 19:39:44.572395-06:00
micro,5.0,512.0,lattice-monitor,x > 0 since[512:512] x > 0.5,10000000.0,ms,17776.0407925,2021-02-13 17:40:08.023098-06:00
micro,3.0,64.0,semiring-monitor,once[64:] x > 0.5,1000000000.0,ms,9082.0,2021-02-13 17:21:13.848688-06:00
micro,6.0,1024.0,semiring-monitor,x > 0.5 since[1024:2048] x > 0,1000000000.0,ms,40453.0,2021-02-13 18:28:40.842130-06:00
micro,5.0,1024.0,Reelay,{x > 0.0} since[1024:1024] {x > 0.5},10000000.0,ms,214517.0,2021-02-13 17:52:02.385823-06:00
micro,4.0,4096.0,semiring-monitor,x > 0.5 since[0:4096] x > 0,1000000000.0,ms,31072.0,2021-02-13 18:51:56.174611-06:00
micro,2.0,512.0,Reelay,once[512:1024] {x > 0.5},10000000.0,ms,3484.0,2021-02-13 17:38:42.756369-06:00
micro,0.0,16.0,lattice-monitor,once[0:16] x > 0.5,10000000.0,ms,1108.60514641,2021-02-13 17:11:36.737773-06:00
micro,3.0,8192.0,semiring-monitor,once[8192:] x > 0.5,1000000000.0,ms,9351.0,2021-02-13 19:29:40.105594-06:00
micro,0.0,128.0,lattice-monitor,once[0:128] x > 0.5,10000000.0,ms,1080.89280128,2021-02-13 18:09:59.879242-06:00
micro,7.0,512.0,Reelay,{x > 0.0} since[512:] {x > 0.5},10000000.0,ms,10175.0,2021-02-13 17:43:58.654652-06:00
micro,6.0,256.0,lattice-monitor,x > 0 since[256:512] x > 0.5,10000000.0,ms,11942.8768158,2021-02-13 18:16:37.070343-06:00
micro,6.0,512.0,semiring-monitor,x > 0.5 since[512:1024] x > 0,1000000000.0,ms,38434.0,2021-02-13 17:43:03.346572-06:00
micro,5.0,256.0,semiring-monitor,x > 0.5 since[256:256] x > 0,1000000000.0,ms,20987.0,2021-02-13 18:16:16.080979-06:00
micro,1.0,2048.0,lattice-monitor,once[2048:2048] x > 0.5,10000000.0,ms,68692.5849915,2021-02-13 18:30:59.361729-06:00
